Epoch,accuracy,precision,recall,f1
1,0.9183123877917415,0.9282945736434108,0.8986866791744841,0.9132507149666349
2,0.9712746858168761,0.9596330275229358,0.9812382739212008,0.9703153988868275
3,0.9730700179533214,0.9683426443202979,0.975609756097561,0.9719626168224299
4,0.973967684021544,0.9598540145985401,0.9868667917448405,0.973172987974098
5,0.9694793536804309,0.9681050656660413,0.9681050656660413,0.9681050656660413
6,0.9757630161579892,0.966789667896679,0.9831144465290806,0.9748837209302326
7,0.9757630161579892,0.9685185185185186,0.9812382739212008,0.9748369058713886
8,0.9757630161579892,0.9650735294117647,0.9849906191369606,0.9749303621169917
9,0.9730700179533214,0.9648798521256932,0.9793621013133208,0.9720670391061452
10,0.9757630161579892,0.9720149253731343,0.9774859287054409,0.9747427502338635
11,0.9757630161579892,0.9720149253731343,0.9774859287054409,0.9747427502338635
12,0.973967684021544,0.9615384615384616,0.9849906191369606,0.9731232622798888
13,0.9775583482944344,0.9686346863468634,0.9849906191369606,0.9767441860465116
14,0.9766606822262118,0.9720670391061452,0.9793621013133208,0.9757009345794393
15,0.9748653500897666,0.966728280961183,0.9812382739212008,0.9739292364990689
16,0.9775583482944344,0.9721189591078067,0.9812382739212008,0.976657329598506
17,0.9766606822262118,0.9703153988868275,0.9812382739212008,0.9757462686567164
18,0.9766606822262118,0.9703153988868275,0.9812382739212008,0.9757462686567164
19,0.9748653500897666,0.9719626168224299,0.975609756097561,0.9737827715355806
20,0.9766606822262118,0.9720670391061452,0.9793621013133208,0.9757009345794393
21,0.9775583482944344,0.9686346863468634,0.9849906191369606,0.9767441860465116
